,itmcode,ItmName,Rcpdate,denier,itmcode.1,itmname,poytype,grdcode,itmprc,Sample ID
0,7,M-1020,11-06-2024,170,3211,120/34 BRT POY,Effect,1,50,1
1,7,M-1020,11-06-2024,170,3211,120/34 BRT POY,Core,1,50,1
2,124,AMISHA,17-06-2024,170,201711,130/108 SD,Effect,1,50,2
3,124,AMISHA,17-06-2024,170,201711,130/108 SD,Core,1,50,2
4,276,6558 (VISCOSE YARN),17-05-2024,180,21120,180/40 BRT,Core,1,100,3
5,457,7571,04-07-2024,135,6223,120/36 BRT POY,Effect,1,60,4
6,457,7571,04-07-2024,135,2349856,78/36 BRT POY,Core,1,40,5
7,492,KABALI(NYLON YARN),26-04-2024,175,21810,71/48 NYLON,Core,1,50,6
8,492,KABALI(NYLON YARN),27-04-2024,175,21810,71/48 NYLON,Effect,1,50,6
9,492,KABALI(NYLON YARN),27-04-2024,175,21810,71/48 NYLON,Core,1,50,6
10,492,KABALI(NYLON YARN),26-04-2024,175,21810,71/48 NYLON,Effect,1,50,6
11,493,RUSTAM,04-07-2024,135,2349856,78/36 BRT POY,Core,1,40,5
12,493,RUSTAM,04-07-2024,135,6223,120/36 BRT POY,Effect,1,60,4
13,670,9828,03-06-2024,190,6215,160/72 BRT,Effect,1,40,7
14,670,9828,03-06-2024,190,6,175/36 DD POY,Core,1,60,8
15,701,9923,09-04-2024,120,950,120/48 BRT A WC,Core,1,100,9
16,701,9923,09-04-2024,120,950,120/48 BRT A WC,Core,1,100,9
17,766,10296 (NYLON YARN),27-04-2024,160,6545,75/36 BRT  FDY,Core,1,50,10
18,766,10296 (NYLON YARN),27-04-2024,160,21810,71/48 NYLON,Effect,1,50,6
19,948,8994,24-04-2024,95,2350227,135/72 FD POY,Core,1,100,11
20,986,NEXA,24-04-2024,95,2350227,135/72 FD POY,Core,1,100,11
21,1002,SEPTRON,27-04-2024,140,6560,50/24 NYLON,Effect,1,40,12
22,1002,SEPTRON,27-04-2024,140,21810,71/48 NYLON,Core,1,60,6
23,2660,11352,22-04-2024,90,1571,126/34 SD P.O.Y,Core,1,100,13
24,2662,11321 (NYLON YARN),17-04-2024,120,2350657,50/12 BRT FDY,Core,1,40,14
25,2662,11321 (NYLON YARN),17-04-2024,120,21810,71/48 NYLON,Effect,1,60,6
26,2754,CHAMPION,13-05-2024,160,2340213,250/72 BRT,Core,1,100,15
27,3100,CHAMPION -SL,13-05-2024,160,2340213,250/72 BRT,Core,1,100,15
28,3107,110/72 CATO-SL,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100,16
29,3107,110/72 CATO-SL,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100,16
30,3108,110/72 BRT-SL,11-04-2024,110,2348500,165/72 BRT,Core,1,100,17
31,3272,MOSAIC,29-06-2024,500,6524,126/72 SD CATO,Core,1,20,18
32,3272,MOSAIC,29-06-2024,500,9175,250/144 FD POY,Effect,1,40,19
33,3272,MOSAIC,29-06-2024,500,2349032,120/72 FD POY,Core,1,20,20
34,3272,MOSAIC,29-06-2024,500,6524,126/72 SD CATO,Effect,1,20,18
35,3282,110/72 CATONIC,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100,16
36,3291,110/72 BRIGHT,11-04-2024,110,2348500,165/72 BRT,Core,1,100,17
37,3294,CAT SILK,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100,16
38,3568,11188 (95/68 SD NYLON),16-05-2024,95,2348098,50D/34F SD NYLON,Effect,1,50,21
39,3568,11188 (95/68 SD NYLON),16-05-2024,95,2348098,50D/34F SD NYLON,Core,1,50,21
40,4662,110/72 CATLON SL,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100,16
41,4748,AUSTIN,25-04-2024,170,6511,130/72 POY FD,Effect,1,50,22
42,4748,AUSTIN,10-06-2024,170,2349032,120/72 FD POY,Core,1,50,20
43,4748,AUSTIN,10-06-2024,170,2349032,120/72 FD POY,Effect,1,50,20
44,4748,AUSTIN,25-04-2024,170,6511,130/72 POY FD,Core,1,50,22
45,4748,AUSTIN,05-04-2024,170,2350227,135/72 FD POY,Core,1,50,11
46,4748,AUSTIN,05-04-2024,170,2350227,135/72 FD POY,Effect,1,50,11
47,6001,9540 A,20-04-2024,310,2350227,135/72 FD POY,Effect,1,40,11
48,6001,9540 A,02-07-2024,310,6524,126/72 SD CATO,Core,1,30,18
49,6001,9540 A,20-04-2024,310,6524,126/72 SD CATO,Core,1,30,18
